Name,Price,Market Cap,Circulating Supply
Bitcoin,"29,066.58",553743261860,"19,050,856 BTC"
Ethereum,"1,786.25",216037352593,"120,944,346 ETH"
Tether,0.999,72463218318,"72,537,249,554 USDT"
USD Coin,1.00,53410519359,"53,395,245,813 USDC"
BNB,303.15,49497523202,"163,276,975 BNB"
XRP,0.3906,18884176199,"48,343,101,197 XRP"
Binance USD,1.00,18155248979,"18,150,788,211 BUSD"
Cardano,0.4678,15790101824,"33,752,565,071 ADA"
Solana,42.54,14437907692,"339,398,908 SOL"
Dogecoin,0.07856,10422303594,"132,670,764,300 DOGE"
BORA,0.4309,371115432,"861,250,000 BORA"
IoTeX,0.03598,343248454,"9,540,779,324 IOTX"
Moonbeam,1.23,335878854,"274,089,899 GLMR"
OMG Network,2.39,335360389,"140,245,398 OMG"
Kyber Network Crystal v2,1.86,329994229,"177,809,350 KNC"
ICON,0.3579,329070886,"919,483,096 ICX"
0x,0.3785,320814739,"847,496,055 ZRX"
Oasis Network,0.06263,314880354,"5,027,383,223 ROSE"
Bancor,1.24,309854963,"249,665,618 BNT"
Theta Fuel,0.05799,307423060,"5,301,214,400 TFUEL"
HEX,0.05998,10401905673,"173,411,074,413 HEX"
Wrapped TRON,0.081,8235584737,"101,676,082,428 WTRX"
Lido Staked ETH,"1,739.13",6065595892,"3,487,728 stETH"
yOUcash,0.5001,4209861595,"8,417,382,578 YOUC"
Bitcoin BEP2,"29,164.71",3068122920,"105,200 BTCB"
Chain,0.1784,3024425781,"16,951,436,284 XCN"
Wrapped BNB,304.27,1568989446,"5,156,578 WBNB"
Toncoin,1.28,1561298260,"1,221,401,181 TON"
Frax,0.9985,1415180923,"1,417,292,622 FRAX"
BitTorrent,0.001275,1261756108,"990,000,000,000 BTTOLD"
Origin Protocol,0.2063,80151644,"388,570,733 OGN"
Dawn Protocol,1.09,80044423,"73,464,266 DAWN"
Strike,24.96,79739322,"3,194,749 STRK"
MyNeighborAlice,2.59,79395996,"30,600,000 ALICE"
Stratis,0.5741,78821202,"137,289,483 STRAX"
Alchemy Pay,0.01723,78213612,"4,540,574,900 ACH"
Verge,0.004737,78180236,"16,504,744,413 XVG"
Metadium,0.04631,78137211,"1,687,369,624 META"
Rakon,0.3217,78116791,"242,857,143 RKN"
Aavegotchi,1.51,78093234,"51,843,924 GHST"
DeFi Pulse Index,89.93,50270806,"558,983 DPI"
Mask Network,1.71,49724575,"29,130,723 MASK"
Proton,0.004111,49776367,"12,108,751,854 XPR"
Ribbon Finance,0.306,49613672,"162,123,922 RBN"
Shapeshift FOX Token,0.134,49582111,"370,036,148 FOX"
Ankr Reward Bearing Staked ETH,"1,688.21",49515152,"29,330 aETHc"
Orion Protocol,1.45,49451895,"34,146,255 ORN"
Beta Finance,0.1229,49369059,"401,666,667 BETA"
Akash Network,0.4336,49367921,"113,861,304 AKT"
TomoChain,0.54,49012345,"90,766,713 TOMO"
